"id","date","tweet","insult_1","target_1","insult_2","target_2","insult_3","target_3","insult_4","target_4","insult_5","target_5","insult_6","target_6"
"1",2014-10-09,"Can you believe this fool, Dr. Thomas Frieden of CDC, just stated, ""anyone with fever should be asked if they have been in West Africa"" DOPE","fool","thomas-frieden","DOPE","thomas-frieden",NA,NA,NA,NA,NA,NA,NA,NA
"2",2015-06-16,"Big time in U.S. today - MAKE AMERICA GREAT AGAIN! Politicians are all talk and no action - they can never bring us back.","all talk and no action","politicians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2015-06-24,"@Neilyoung's song,  ""Rockin' In The Free World "" was just one of 10 songs used as background music. Didn't love it anyway.","didn't love it","rockin-in-the-free-world",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2015-06-24,"For the nonbeliever, here is a photo of @Neilyoung in my office and his $$ request—total hypocrite. http://t.co/Xm4BJvetIa","total hypocrite","neil-young",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2015-06-24,"Politician @SenatorCardin didn't like that I said Baltimore needs jobs & spirit. It's politicians like Cardin that have destroyed Baltimore.","It's politicians like Cardin that have destroyed Baltimore.","ben-cardin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2015-06-25,"@WhoopiGoldberg had better surround herself with better hosts than Nicole Wallace, who doesn't have a clue. The show is close to death!","doesn't have a clue","nicole-wallace","close to death","the-view",NA,NA,NA,NA,NA,NA,NA,NA
"7",2015-06-25,"Governor Rick Scott of Florida did really poorly on television this morning. I hope he is O.K.","did really poorly on television","rick-scott",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2015-06-25,"I hear that dopey political pundit, Lawrence O'Donnell, one of the dumber people on television, is about to lose his show-no ratings?Too bad","dopey political pundit","lawrence-o-donnell","one of the dumber people on television","lawrence-o-donnell",NA,NA,NA,NA,NA,NA,NA,NA
"9",2015-06-25,"Just out, the new nationwide @FoxNews poll has me alone in 2nd place, closely behind Jeb Bush-but Bush will NEVER Make America Great Again!","will NEVER Make America Great Again","jeb-bush",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2015-06-25,"The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to sleep. Dead T.V.","a disaster","molly-sims","a disaster","nicole-wallace","dead T.V.","the-view","put it to sleep","the-view",NA,NA,NA,NA
"11",2015-06-25,"Uncomfortable looking NBC reporter Willie Geist calls me to ask for favors and then mockingly smiles when he is told of my high poll numbers","uncomfortable looking","willie-geist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
